               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.035079,            0.012298,            0.027107,             0.89464,              0.6919,             0.84036,             0.52246,            0.024787,           0.0067581,            0.016661,            0.004852,            0.004852,            0.004852
                  54,            0.032761,            0.013078,            0.022658,             0.85532,             0.70746,             0.84114,             0.50659,            0.026006,           0.0068659,            0.016367,            0.004753,            0.004753,            0.004753
                  55,            0.034613,            0.013036,            0.022333,             0.89811,             0.72884,             0.86257,             0.54383,            0.023487,           0.0067713,            0.016096,            0.004654,            0.004654,            0.004654
                  56,            0.035985,            0.012928,            0.025572,             0.88819,             0.74951,             0.85529,             0.55422,            0.023504,           0.0066496,             0.01602,            0.004555,            0.004555,            0.004555
                  57,            0.032555,            0.013905,             0.02439,             0.88116,             0.73524,             0.86227,             0.56809,            0.023138,           0.0066421,            0.015598,            0.004456,            0.004456,            0.004456
                  58,            0.032423,            0.011668,            0.025469,             0.83279,             0.73524,             0.82855,              0.5492,            0.023452,           0.0065895,            0.015164,            0.004357,            0.004357,            0.004357
                  59,            0.031499,            0.012282,            0.019566,             0.92643,             0.73524,             0.82892,             0.55911,            0.021945,           0.0065664,            0.015087,            0.004258,            0.004258,            0.004258
                  60,            0.034968,            0.011282,            0.022268,             0.87902,             0.73524,             0.80824,             0.51806,            0.025418,           0.0066756,            0.014885,            0.004159,            0.004159,            0.004159
                  61,            0.033853,             0.01357,            0.020973,             0.92752,             0.73524,             0.82152,             0.58639,            0.021074,           0.0065457,            0.014547,             0.00406,             0.00406,             0.00406
                  62,            0.033149,            0.012571,            0.022118,             0.92642,             0.73241,             0.81813,             0.56164,            0.022643,           0.0065646,            0.014484,            0.003961,            0.003961,            0.003961
                  63,            0.033071,            0.012545,            0.020179,             0.91176,             0.73087,             0.81962,             0.54645,            0.022477,           0.0064786,            0.014178,            0.003862,            0.003862,            0.003862
                  64,            0.030707,            0.013167,            0.019795,             0.87946,             0.72833,             0.81309,             0.52497,            0.023564,           0.0065677,            0.013716,            0.003763,            0.003763,            0.003763
                  65,            0.030753,            0.012756,            0.023066,              0.8911,             0.72288,             0.82019,             0.53618,            0.022535,           0.0064436,             0.01342,            0.003664,            0.003664,            0.003664
                  66,             0.03338,            0.013363,            0.021144,             0.93776,             0.72287,             0.82997,              0.5675,            0.020897,           0.0064311,            0.013342,            0.003565,            0.003565,            0.003565
                  67,            0.032937,            0.012615,            0.022849,             0.94595,             0.70492,             0.82016,             0.52829,            0.022454,           0.0064517,            0.013108,            0.003466,            0.003466,            0.003466
                  68,            0.032014,            0.011646,            0.019876,             0.84444,             0.73181,              0.7891,              0.5536,            0.020685,           0.0064673,            0.013072,            0.003367,            0.003367,            0.003367
                  69,            0.029618,            0.012316,            0.017785,              0.8826,             0.71964,             0.79471,             0.55361,            0.020077,           0.0064873,            0.012961,            0.003268,            0.003268,            0.003268
                  70,            0.028577,            0.012712,            0.019992,             0.96727,             0.71553,             0.81335,             0.53908,             0.02184,           0.0065037,            0.012582,            0.003169,            0.003169,            0.003169
                  71,             0.03113,            0.011289,            0.022126,             0.94426,             0.71663,             0.80208,             0.53496,            0.021719,           0.0065395,            0.012375,             0.00307,             0.00307,             0.00307
                  72,            0.031117,            0.011911,            0.018867,             0.95942,             0.73568,             0.81679,             0.57548,            0.019275,           0.0064102,            0.012349,            0.002971,            0.002971,            0.002971
                  73,            0.030947,            0.011724,            0.018166,             0.90973,             0.75918,             0.80564,             0.54556,            0.022017,           0.0064368,            0.012109,            0.002872,            0.002872,            0.002872
                  74,            0.028857,            0.011203,            0.019079,             0.95248,             0.75274,             0.82471,             0.59938,            0.018807,           0.0063295,            0.011845,            0.002773,            0.002773,            0.002773
                  75,            0.028548,            0.010609,            0.019815,             0.96114,              0.7519,             0.82491,             0.60455,            0.018986,            0.006305,            0.011656,            0.002674,            0.002674,            0.002674
                  76,            0.030328,            0.011194,            0.019771,             0.96073,             0.75339,              0.8261,             0.57563,            0.018992,           0.0062539,            0.011437,            0.002575,            0.002575,            0.002575
                  77,            0.029421,            0.013267,            0.017969,             0.95588,             0.74651,             0.82952,             0.60687,            0.017677,           0.0061626,             0.01127,            0.002476,            0.002476,            0.002476
                  78,            0.030426,            0.012102,            0.020875,             0.96932,             0.73471,             0.82569,             0.63185,            0.017975,           0.0061151,            0.011228,            0.002377,            0.002377,            0.002377
                  79,            0.028806,             0.01132,            0.018549,             0.98016,             0.72131,              0.8262,             0.60194,            0.018665,           0.0061821,             0.01114,            0.002278,            0.002278,            0.002278
                  80,            0.029588,            0.010823,            0.020715,             0.96782,             0.73345,             0.83409,             0.64278,              0.0179,           0.0061041,            0.010976,            0.002179,            0.002179,            0.002179
                  81,            0.028418,            0.011484,            0.018171,             0.96674,             0.73042,             0.83056,             0.61527,              0.0181,           0.0061459,            0.010935,             0.00208,             0.00208,             0.00208
                  82,            0.028618,            0.012078,            0.017873,             0.96755,             0.72778,             0.83233,             0.60415,            0.018027,           0.0060714,             0.01092,            0.001981,            0.001981,            0.001981
                  83,            0.027878,            0.012084,            0.017915,             0.97285,             0.72245,             0.85996,             0.63082,            0.018366,           0.0060616,            0.010799,            0.001882,            0.001882,            0.001882
                  84,             0.03006,            0.011815,            0.019881,             0.93527,             0.75527,             0.84473,             0.63202,            0.016831,            0.005958,            0.010738,            0.001783,            0.001783,            0.001783
                  85,            0.028672,            0.012027,             0.01792,             0.96632,             0.71705,             0.86233,             0.61501,            0.018315,           0.0060587,            0.010775,            0.001684,            0.001684,            0.001684
                  86,            0.026986,            0.010767,            0.017022,             0.89774,             0.77541,             0.86455,             0.65806,            0.016839,           0.0059754,            0.010833,            0.001585,            0.001585,            0.001585
                  87,             0.02734,            0.010303,            0.019326,             0.89562,             0.77725,             0.86382,             0.65313,            0.016934,           0.0060491,            0.010864,            0.001486,            0.001486,            0.001486
                  88,            0.027765,            0.012262,            0.017483,             0.88184,             0.77674,             0.86941,             0.65751,            0.017518,           0.0060716,             0.01084,            0.001387,            0.001387,            0.001387
                  89,            0.027989,             0.01086,            0.018504,             0.88191,             0.77819,             0.86929,             0.63241,            0.018015,             0.00606,            0.010758,            0.001288,            0.001288,            0.001288
                  90,            0.026692,             0.01179,             0.01497,              0.8901,             0.77819,             0.87385,             0.67263,            0.016849,           0.0059561,            0.010585,            0.001189,            0.001189,            0.001189
                  91,            0.027987,            0.011549,            0.018823,             0.88766,             0.77819,             0.87713,             0.67883,            0.016637,           0.0059554,            0.010389,             0.00109,             0.00109,             0.00109
                  92,            0.027851,            0.012142,            0.016692,             0.88719,             0.77819,             0.87286,             0.68579,            0.016405,           0.0059652,            0.010261,            0.000991,            0.000991,            0.000991
                  93,             0.02693,            0.010819,            0.016402,             0.88271,             0.77819,             0.86632,             0.66925,            0.016252,           0.0059871,            0.010195,            0.000892,            0.000892,            0.000892
                  94,            0.026607,            0.010369,            0.016862,             0.89234,             0.77819,             0.87118,             0.67363,            0.016163,           0.0059676,            0.010152,            0.000793,            0.000793,            0.000793
                  95,            0.026501,            0.011508,            0.014006,             0.96195,             0.72769,             0.87526,             0.67747,            0.016078,           0.0059341,            0.010075,            0.000694,            0.000694,            0.000694
                  96,            0.025792,            0.011192,            0.016077,             0.93021,             0.76899,             0.88077,             0.68689,            0.015722,           0.0058941,           0.0099599,            0.000595,            0.000595,            0.000595
                  97,            0.025975,            0.011302,            0.019056,             0.91227,              0.7643,             0.87891,             0.68333,            0.015756,           0.0059295,           0.0098634,            0.000496,            0.000496,            0.000496
                  98,            0.028977,            0.011721,            0.016478,             0.91887,             0.76766,             0.87477,             0.68629,            0.015649,           0.0059033,           0.0098659,            0.000397,            0.000397,            0.000397
                  99,            0.024571,            0.011249,            0.016028,              0.9158,             0.77004,             0.88068,             0.68649,            0.015497,           0.0058532,           0.0098167,            0.000298,            0.000298,            0.000298
